address,amount_idm,amount_wei,tier,note
0x793ef17dfd2420a3b1193d39d07424d18e42b72d,545276.66889903,545276668899030000000000,vested_20_6m,transfer terverifikasi
0x9988b6e00e786d4e1df59b26a1190cb5751626a1,542100.44032187,542100440321870000000000,vested_20_6m,transfer terverifikasi
0x8931c5a397b35fd721111ed2823f943061e7cbd0,541420.33769633,541420337696330000000000,vested_20_6m,transfer terverifikasi
0x0c0dbd4bc52a83a548db849e843c51d48e9d447f,536611.62904001,536611629040010000000000,vested_20_6m,transfer terverifikasi
0xcf3949eef7f21f1e828bec471c94b6edfd999a27,532351.34603942,532351346039420000000000,vested_20_6m,transfer terverifikasi
0x46860b59909dd71e0b15f0542478977eb06447cf,531709.32338229,531709323382290000000000,vested_20_6m,transfer terverifikasi
0x0023d593cf41c379ec3d37f0ac424eb2ba9f6e91,523787.59514739,523787595147390000000000,vested_20_6m,transfer terverifikasi
0x679eb9f4a0ef1c0de46c5603283a3809966ee05e,520728.27246723,520728272467230000000000,vested_20_6m,transfer terverifikasi
0x1f564f2e1e296e4b58a9ff5def488318d8469864,517384.68504349,517384685043490000000000,vested_20_6m,transfer terverifikasi
0xf389b4edfb7d9a93cd3000ba9b228747e4942c52,517175.52578160,517175525781600000000000,vested_20_6m,transfer terverifikasi
0x65f891c9221b1a6550a915d192b2dd62740e5d7f,516670.35769319,516670357693190000000000,vested_20_6m,transfer terverifikasi
0x10a1bdafe1bed1542257a05013ea651f8c1924ae,516187.75362418,516187753624180000000000,vested_20_6m,transfer terverifikasi
0x596099877cecdd1efce42441c2225dcafd8b152a,515000.30516989,515000305169890000000000,vested_20_6m,transfer terverifikasi
0x1342cebfb194142e7d16421dc198041d948ed62a,513896.56689011,513896566890110000000000,vested_20_6m,transfer terverifikasi
0xee733aa1d23058a7e2f989c1335d20268d1c2c80,511009.63350856,511009633508560000000000,vested_20_6m,transfer terverifikasi
0x1e9ae518b94bf9fde195bd1511e45d70747778ff,508634.81474850,508634814748500000000000,vested_20_6m,transfer terverifikasi
0x88670730127001034a016d724accafa538c5fb32,507176.76009622,507176760096220000000000,vested_20_6m,transfer terverifikasi
0xfa58d7a4a67170f322a65862324c08cd27cbd5c9,505832.95152334,505832951523340000000000,vested_20_6m,transfer terverifikasi
0xc4523340baddab5e7e2ad009a79f654a6128503c,503552.97922471,503552979224710000000000,vested_20_6m,transfer terverifikasi
0x52aa90eec69cd4a7a64076549137ce3648d7121a,503390.25296037,503390252960370000000000,vested_20_6m,transfer terverifikasi
0x2f751a7da0c3cbc5786fe57debbb5edb4f32f29c,503180.30773985,503180307739850000000000,vested_20_6m,transfer terverifikasi
0x051bd33912b92f02c6e70af707687a6fe14d3007,502486.82864924,502486828649240000000000,vested_20_6m,transfer terverifikasi
0xcfab6a3b9369530cd5d4671c8d096eb0d6262810,502074.62527694,502074625276940000000000,vested_20_6m,transfer terverifikasi
0x3fd3b4d3bfc46215042fed6d72b0e4848e57a445,501950.34275445,501950342754450000000000,vested_20_6m,transfer terverifikasi
0xdd6ae8937cfeec9f07576f1dddb3b6cf1e1d2baa,501905.26459243,501905264592430000000000,vested_20_6m,transfer terverifikasi
0x46c0ed2869d36aaf09d09b6259a0e247af2fa650,501834.32603517,501834326035170000000000,vested_20_6m,transfer terverifikasi
0x53a4cd8af1b4fba741e9a410d08f2b4e85891e56,500868.75065881,500868750658810000000000,vested_20_6m,transfer terverifikasi
0x4675aee26b6f266c84286a0d5154c98f8bd4e620,500868.75065881,500868750658810000000000,vested_20_6m,transfer terverifikasi
0x76d562ae14ba3d4d33cd524d16fd21b07fb25aa3,500846.29796604,500846297966040000000000,vested_20_6m,transfer terverifikasi
0x397ebcb54d1982a10f538f9388a108244de9fd6b,500846.29796604,500846297966040000000000,vested_20_6m,transfer terverifikasi
0x88798d6bfd969f9ecaeea8fa3cf51f5fb28b6a8a,500837.77626310,500837776263100000000000,vested_20_6m,transfer terverifikasi
0x4030529bb18e6b7f8150b443c563d16c05a2b10c,500834.44983103,500834449831030000000000,vested_20_6m,transfer terverifikasi
0x79dcb6f27fac51e32e908f51531d710711dff558,500834.33548334,500834335483340000000000,vested_20_6m,transfer terverifikasi
0x7af7e66c63e74903dfe04690a7ace2cd473d2ccb,500832.66071375,500832660713750000000000,vested_20_6m,transfer terverifikasi
0xaa706c5c2628fc0a09d870138c3cffbd0984c2fd,500832.66071375,500832660713750000000000,vested_20_6m,transfer terverifikasi
0xe091783a0c119b91302ef7d89fd8f1f706160d5d,500832.66071375,500832660713750000000000,vested_20_6m,transfer terverifikasi
0x2e665a6a9c785447e8ae12650180725bef7f3cfa,500794.65569195,500794655691950000000000,vested_20_6m,transfer terverifikasi
0x63ba1100c1d49e6e880b1240f77b4d3a48819f90,500653.52209192,500653522091920000000000,vested_20_6m,transfer terverifikasi
0xa5fde3bcb94e515976e6fe27e7fcadcba9e76d3d,500176.66207387,500176662073870000000000,vested_20_6m,transfer terverifikasi
0x81ac7fca2a41f3867dab9d1a3f9d1a6df1891fa2,494337.98176442,494337981764420000000000,vested_20_6m,transfer terverifikasi
